SeqName	Description	GO IDs	Enzyme Codes
plot1_0000369504_2	---NA---		
plot30_0000311805_1	carboxymuconolactone decarboxylase family protein	F:GO:0051920; P:GO:0055114; P:GO:0098869	EC:1.11.1.15
plot1_0000261442_4	dienelactone hydrolase	F:GO:0008806	EC:3.1.1.45; EC:3.1.1.1
plot30_0000546161_1	MBL fold metallo-hydrolase		
plot1_0000691063_2	galactose oxidase	F:GO:0016491; P:GO:0055114	
plot1_0000180922_4	galactose oxidase	F:GO:0016491; P:GO:0055114	
plot1_0000417219_2	hypothetical protein DMG13_07625	C:GO:0016020	
plot1_0000610413_3	polysaccharide deacetylase	P:GO:0005975; F:GO:0016810	
plot6_0000171217_2	peptidylprolyl isomerase	P:GO:0000413; F:GO:0003755; P:GO:0006457	EC:5.2.1.8
plot30_0000244052_4	MBL fold metallo-hydrolase	C:GO:0016020; C:GO:0016021	
plot1_0000050957_2	branched-chain amino acid ABC transporter substrate-binding protein		
plot30_0000130420_4	dienelactone hydrolase	F:GO:0016787	
plot30_0000344152_1	dienelactone hydrolase	F:GO:0016787	
plot36_0000142412_2	ABC transporter substrate-binding protein		
plot6_0000197338_1	sugar ABC transporter substrate-binding protein		
plot1_0000381928_3	sugar ABC transporter substrate-binding protein	P:GO:0008643	
plot1_0000662693_3	rubrerythrin	F:GO:0016692; F:GO:0046872; P:GO:0055114; P:GO:0098869	EC:1.11.1.1; EC:1.11.1.7
plot1_0000100188_6	antibiotic biosynthesis monooxygenase	F:GO:0004497; P:GO:0055114	
plot36_0000037751_3	---NA---		
plot30_0000165134_3	DUF1080 domain-containing protein		
plot30_0000067992_6	hypothetical protein A3J29_02190		
plot30_0000068334_6	extracellular solute-binding protein	P:GO:0008643	
plot6_0000003156_4	sugar ABC transporter substrate-binding protein		
plot1_0000089261_1	arylsulfatase	F:GO:0008484	
plot1_0000192469_2	fumarylacetoacetate hydrolase	F:GO:0016787	
plot36_0000069161_7	branched chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
plot30_0000220902_1	sulfurtransferase	F:GO:0004792	EC:2.8.1.1
plot1_0000032937_3	DUF4331 domain-containing protein		
plot36_0000105312_5	amino acid ABC transporter substrate-binding protein	F:GO:0004970; C:GO:0016020; P:GO:0035235	
plot6_0000193733_2	acetamidase/formamidase family protein	F:GO:0004328	EC:3.5.1.49
plot1_0000056265_2	extracellular solute-binding protein		
plot1_0000636075_2	MBL fold hydrolase	F:GO:0016787	
plot36_0000001320_21	dienelactone hydrolase	F:GO:0008806	EC:3.1.1.45; EC:3.1.1.1
plot30_0000600218_2	DUF4440 domain-containing protein	F:GO:0003824	
plot36_0000479695_1	MBL fold metallo-hydrolase	F:GO:0016787	
plot1_0000630191_2	glyoxalase/bleomycin resistance protein/dioxygenase	C:GO:0016020	
plot30_0000173099_1	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
plot30_0000020544_8	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
plot1_0000001956_11	ABC transporter substrate-binding protein	P:GO:0006865	
plot30_0000020626_1	cupin	F:GO:0045735	
plot30_0000017833_8	cupin	F:GO:0045735	
plot1_0000028148_10	peptidylprolyl isomerase	P:GO:0000413; F:GO:0003755; P:GO:0006457	EC:5.2.1.8
plot1_0000015005_13	peptidylprolyl isomerase	P:GO:0000413; F:GO:0003755; P:GO:0006457	EC:5.2.1.8
plot1_0000346287_1	Cna protein B-type domain-containing protein	C:GO:0016020; C:GO:0016021	
plot30_0000226771_1	hypothetical protein BZY75_00555	F:GO:0016810	
plot1_0000296025_3	TIGR03118 family protein	C:GO:0016020; C:GO:0016021	
plot30_0000067581_6	alpha/beta hydrolase	F:GO:0016787	
plot30_0000342615_2	carboxypeptidase regulatory-like domain-containing protein	C:GO:0016021; F:GO:0030246	
plot6_0000073770_1	dihydroxyacetone kinase subunit DhaK	F:GO:0004371; P:GO:0006071; P:GO:0016310	EC:2.7.1.29
plot30_0000053132_5	carnitine dehydratase	F:GO:0003824	
plot1_0000062269_4	sugar ABC transporter substrate-binding protein		
plot30_0000052026_4	transaldolase	F:GO:0004801; C:GO:0005737; P:GO:0005975; P:GO:0006098	EC:2.2.1.2
plot30_0000013525_12	VOC family protein		
plot30_0000517280_2	Methylene-tetrahydrofolate reductase C terminal domain-containing protein		
plot30_0000068511_4	sugar ABC transporter substrate-binding protein		
plot36_0000121139_1	ABC transporter substrate-binding protein		
plot30_0000144997_1	amino acid/amide ABC transporter substrate-binding protein (HAAT family)	P:GO:0006865	
plot30_0000107107_4	hypothetical protein		
plot30_0000103341_2	cyclase	F:GO:0004061; P:GO:0019441	EC:3.5.1.9
plot1_0000117862_1	NADP-dependent isocitrate dehydrogenase	F:GO:0004450; P:GO:0006099; F:GO:0046872	EC:1.1.1.42
plot1_0000033042_2	carboxypeptidase regulatory-like domain-containing protein	F:GO:0005488	
plot30_0000719382_1	phosphate ABC transporter substrate-binding protein PstS	P:GO:0035435; F:GO:0042301; C:GO:0043190	
plot1_0000061154_1	fumarylacetoacetate hydrolase	F:GO:0016787	
plot36_0000417545_1	sugar ABC transporter substrate-binding protein		
plot36_0000410078_1	40-residue YVTN family beta-propeller repeat-containing protein	F:GO:0009055; F:GO:0020037; P:GO:0022900	
plot30_0000288217_3	MSMEG_0572 family nitrogen starvation response protein		
plot1_0000052729_1	acetamidase	F:GO:0016811	
plot30_0000461222_1	cytochrome C nitrite reductase		
plot36_0000049728_3	BNR/Asp-box repeat protein	C:GO:0016021	
plot1_0000120142_3	photosystem reaction center subunit H		
plot1_0000026226_10	xanthine dehydrogenase family protein molybdopterin-binding subunit	F:GO:0047121; P:GO:0055114	EC:1.3.99.16
plot30_0000013498_12	sulfurtransferase	F:GO:0004792	EC:2.8.1.1
plot30_0000424290_2	alpha/beta hydrolase	F:GO:0003824	
plot1_0000014210_9	amino acid ABC transporter substrate-binding protein		
plot30_0000177960_1	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
plot30_0000028757_6	---NA---		
plot1_0000411797_1	gluconolactonase		
plot36_0000135344_5	hypothetical protein DME00_28310		
plot1_0000337266_2	Predicted ester cyclase	P:GO:0030638	
plot30_0000545197_3	hypothetical protein DMD94_05050		
plot30_0000256223_2	right-handed parallel beta-helix repeat-containing protein		
plot1_0000668410_1	gluconolactonase		
plot1_0000357415_3	CHRD domain-containing protein		
plot1_0000007624_22	hypothetical protein DME01_17330	C:GO:0016021; F:GO:0016209; F:GO:0016491; P:GO:0055114; P:GO:0098869	
plot36_0000337963_3	tricarboxylate transporter		
plot36_0000261665_3	40-residue YVTN family beta-propeller repeat-containing protein	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	
plot36_0000036940_2	alpha/beta hydrolase	F:GO:0016787	
plot1_0000479291_1	gluconolactonase		
plot1_0000214110_4	DUF4331 domain-containing protein		
plot1_0000289838_1	lactonase family protein		
plot1_0000313779_1	hypothetical protein DME10_10565		
plot1_0000544802_1	arylsulfatase	F:GO:0008484; C:GO:0016021	
plot30_0000010326_19	ABC transporter permease		
plot1_0000026061_10	hypothetical protein DMD99_18985	F:GO:0003824	
plot6_0000037332_3	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0016898	
plot1_0000182928_4	CHRD domain-containing protein		
plot36_0000102938_2	CHRD domain-containing protein		
plot6_0000233659_1	BMP family ABC transporter substrate-binding protein	C:GO:0005886	
plot30_0000506106_2	DUF4437 domain-containing protein		
plot6_0000001302_18	cyclase family protein	F:GO:0004061; P:GO:0019441	EC:3.5.1.9
plot6_0000028225_6	DUF4437 domain-containing protein	F:GO:0045735	
plot1_0000530456_2	MBL fold metallo-hydrolase	F:GO:0016787	
plot30_0000127882_5	CHRD domain-containing protein		
plot1_0000001483_11	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0003779; F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	
plot6_0000137789_1	periplasmic binding family protein	C:GO:0016020; C:GO:0016021	
plot30_0000019011_6	acetamidase	F:GO:0016811	
plot6_0000164062_1	ABC transporter substrate-binding protein		
plot30_0000473470_2	extracellular solute-binding protein	P:GO:0008643	
plot30_0000110058_7	amino acid ABC transporter		
plot6_0000245166_2	hypothetical protein DME12_04930		
plot1_0000319520_1	alpha/beta hydrolase	F:GO:0016787	
plot36_0000329122_1	arylsulfatase	F:GO:0008484	
plot1_0000000965_39	C-type lectin-like	F:GO:0030246	
plot1_0000020958_4	ABC transporter substrate-binding protein		
plot1_0000020558_3	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0016491; P:GO:0055114	
plot30_0000186237_3	VOC family protein	F:GO:0008168; P:GO:0032259	
plot1_0000235689_2	cupin		
plot1_0000314589_2	hypothetical protein	F:GO:0016810; F:GO:0019213	
plot30_0000005639_27	sorbosone dehydrogenase	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	
plot1_0000073481_4	VOC family protein		
plot30_0000034914_1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
plot30_0000085708_5	VOC family protein	F:GO:0051213; P:GO:0055114	
plot1_0000616750_1	---NA---		
plot6_0000000796_13	dienelactone hydrolase family protein	F:GO:0016787	
plot30_0000291461_3	hypothetical protein DMG16_17200	F:GO:0016810	
plot1_0000648260_1	hypothetical protein AUH09_03055		
plot30_0000558235_1	alpha/beta hydrolase	F:GO:0016787	
plot1_0000109722_3	superoxide dismutase	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	EC:1.15.1.1
plot30_0000091914_3	ferritin-like domain-containing protein	C:GO:0016020; C:GO:0016021	
plot1_0000152096_1	arylsulfatase	F:GO:0008484	
plot30_0000289882_1	cyclase	F:GO:0004497; P:GO:0055114	
plot36_0000189764_1	arylsulfatase	F:GO:0008484	
plot1_0000475689_3	hypothetical protein DMD75_18600	F:GO:0003824	
plot1_0000000090_6	cyclase	F:GO:0004061; P:GO:0019441	EC:3.5.1.9
plot30_0000214223_3	transaldolase	P:GO:0005975; F:GO:0016740; F:GO:0016853; P:GO:0019693; P:GO:0044283; P:GO:0046496; P:GO:1901576	
plot1_0000029992_4	alcohol dehydrogenase (cytochrome c)	F:GO:0052934	EC:1.1.2.8
plot1_0000000150_36	alpha/beta hydrolase	F:GO:0016787	
plot1_0000483014_2	MBL fold metallo-hydrolase	F:GO:0016787	
plot1_0000009230_10	cyclase family protein	F:GO:0004061; P:GO:0019441	EC:3.5.1.9
plot1_0000332124_1	ABC transporter substrate-binding protein		
plot6_0000009649_10	alpha/beta hydrolase	P:GO:0000160; F:GO:0016787	
plot30_0000530056_1	hypothetical protein		
plot1_0000627222_1	NADP-dependent oxidoreductase	F:GO:0016491; P:GO:0055114	
plot1_0000144435_5	cupin domain-containing protein		
plot1_0000428899_2	Predicted protein		
plot36_0000056509_6	MBL fold metallo-hydrolase	F:GO:0016705; F:GO:0016787; P:GO:0055114	
plot30_0000285099_1	carbon monoxide dehydrogenase	F:GO:0016491; P:GO:0055114	
plot30_0000026485_1	Uncharacterised protein		
plot1_0000052841_7	arylsulfatase	F:GO:0008484	
plot1_0000008245_1	ThuA domain-containing protein		
plot36_0000116776_3	ABC transporter permease		
plot6_0000200513_1	xanthine dehydrogenase family protein molybdopterin-binding subunit	C:GO:0016020; F:GO:0016491; P:GO:0055114	
plot30_0000000104_44	superoxide dismutase	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	EC:1.15.1.1
plot1_0000110879_6	glucose 1-dehydrogenase	F:GO:0004316; F:GO:0047936; P:GO:0055114; F:GO:0102131; F:GO:0102132	EC:2.3.1.85; EC:1.1.1.47; EC:1.1.1.100; EC:1.1.99.10
plot30_0000424057_1	amino acid ABC transporter substrate-binding protein		
plot1_0000014114_11	ABC transporter substrate-binding protein		
plot1_0000109170_5	methionyl-tRNA formyltransferase	P:GO:0009058; F:GO:0016742	
plot1_0000489306_2	N-acyl homoserine lactonase family protein	F:GO:0016787	
plot1_0000062469_3	TRAP transporter substrate-binding protein	C:GO:0030288; P:GO:0055085	
plot30_0000133890_4	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
plot36_0000295894_1	quinonprotein alcohol dehydrogenase	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	
plot1_0000004647_17	carbon monoxide dehydrogenase	F:GO:0016491; P:GO:0055114	
plot30_0000017147_9	Antibiotic biosynthesis monooxygenase	F:GO:0004497; P:GO:0055114	
plot30_0000547618_2	arylsulfatase	F:GO:0008484	
plot1_0000682497_1	arylsulfatase	F:GO:0008484	
plot30_0000101032_2	thiol oxidoreductase	F:GO:0009055; C:GO:0016020; F:GO:0020037; P:GO:0022900; F:GO:0046872	
plot1_0000056504_6	hypothetical protein DMF61_04170	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	
plot36_0000210870_1	hypothetical protein DMG01_07405	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	
plot36_0000012111_3	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
plot36_0000207659_1	hypothetical protein DMD96_13910		
plot30_0000069159_5	limonene-1,2-epoxide hydrolase	F:GO:0016787; F:GO:0018744	
plot30_0000001824_14	NIPSNAP family protein		
plot1_0000070867_8	alpha/beta hydrolase	F:GO:0016787	
plot1_0000003492_14	gluconolactonase	F:GO:0004341	EC:3.1.1.17; EC:3.1.1.1
plot1_0000078830_5	ester cyclase	F:GO:0016853; P:GO:0030638	
plot36_0000144089_1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0052935; P:GO:0055114	EC:1.1.2.8
plot36_0000044387_3	hypothetical protein DMD92_21620	C:GO:0016021; F:GO:0016209; F:GO:0016491; P:GO:0055114; P:GO:0098869	
plot1_0000404047_2	glyoxalase	F:GO:0016829	
plot30_0000033523_6	superoxide dismutase	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	EC:1.15.1.1
plot6_0000011585_4	hypothetical protein DME03_22675	F:GO:0030246	
plot1_0000125150_1	amidohydrolase	F:GO:0016787	
plot6_0000213443_2	amino acid ABC transporter substrate-binding protein		
plot1_0000245739_4	lactonase family protein		
plot36_0000440444_1	ribose ABC transporter substrate-binding protein	P:GO:0008643	
plot1_0000206693_3	VOC family protein	F:GO:0016829; F:GO:0051213; P:GO:0055114	
plot1_0000013742_18	antibiotic biosynthesis monooxygenase	F:GO:0004497; P:GO:0055114	
plot1_0000553106_2	antibiotic biosynthesis monooxygenase	F:GO:0004497; P:GO:0055114	
plot1_0000511821_4	D-xylose ABC transporter substrate-binding protein	P:GO:0015753; F:GO:0048029	
plot30_0000647333_2	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016021; F:GO:0016614; P:GO:0055114	
plot1_0000111986_7	hypothetical protein BZY87_00075	F:GO:0051920; P:GO:0055114; P:GO:0098869	EC:1.11.1.15
plot30_0000355007_1	ABC transporter substrate-binding protein		
plot1_0000316543_4	FAA hydrolase family protein	F:GO:0016787; F:GO:0016853	
plot1_0000150207_1	copper oxidase	F:GO:0046872	
plot30_0000016139_12	OmpA family protein	C:GO:0009279; C:GO:0016020; C:GO:0016021	
plot36_0000126120_6	polysaccharide deacetylase	P:GO:0005975; F:GO:0016810	
plot1_0000046391_5	ABC transporter substrate-binding protein	P:GO:0006865	
plot1_0000022417_4	Predicted metal-dependent hydrolase, TIM-barrel fold	F:GO:0016787	
plot36_0000365258_2	sorbosone dehydrogenase	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	
plot1_0000108105_2	phosphate-binding protein	F:GO:0042301	
plot30_0000099417_3	alpha/beta hydrolase	F:GO:0016787	
plot1_0000005090_10	alpha/beta hydrolase	F:GO:0016787	
plot30_0000177487_5	alpha/beta hydrolase	F:GO:0016740	
plot36_0000358369_1	40-residue YVTN family beta-propeller repeat-containing protein	F:GO:0009055; F:GO:0020037; P:GO:0022900	
plot36_0000167842_1	hypothetical protein DMF99_31925	F:GO:0016810	
plot1_0000000068_48	xanthine dehydrogenase family protein molybdopterin-binding subunit	F:GO:0047121; P:GO:0055114	EC:1.3.99.16
plot36_0000019514_6	CHRD domain-containing protein		
plot30_0000007626_15	C4-dicarboxylate ABC transporter substrate-binding protein	C:GO:0030288; P:GO:0055085	
plot1_0000548720_3	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0018468; F:GO:0052935; P:GO:0055114	EC:1.1.99.8; EC:1.1.2.8
plot6_0000042083_7	cupin domain-containing protein	F:GO:0051213; P:GO:0055114	
plot1_0000063166_5	cupin domain-containing protein	F:GO:0051213; P:GO:0055114	
plot1_0000689929_2	cupin domain-containing protein	F:GO:0051213; P:GO:0055114	
plot1_0000448867_2	cupin domain-containing protein	F:GO:0051213; P:GO:0055114	
plot1_0000003515_15	6-bladed beta-propeller	F:GO:0016301; P:GO:0016310	
plot30_0000291004_1	triose-phosphate isomerase	F:GO:0004807; C:GO:0005737; P:GO:0006094; P:GO:0006096	EC:5.3.1.1
plot1_0000532898_2	cupin domain-containing protein		
plot6_0000036170_5	cupin domain-containing protein		
plot36_0000327804_1	lectin		
plot30_0000027218_8	thiolase family protein	F:GO:0003824	
plot1_0000140529_6	antibiotic biosynthesis monooxygenase	F:GO:0004497; P:GO:0055114	
plot36_0000038003_6	transaldolase	F:GO:0004801; C:GO:0005737; P:GO:0005975; P:GO:0006098	EC:2.2.1.2
plot36_0000271156_2	formylglycine-generating enzyme family protein	P:GO:0007165; C:GO:0016020; C:GO:0016021	
plot30_0000058681_6	formylglycine-generating enzyme family protein	P:GO:0007165; C:GO:0016020; C:GO:0016021	
plot1_0000063813_1	putative Leu/Ile/Val-binding protein-like protein 8	P:GO:0006865	
plot30_0000589541_2	carbonic anhydrase	F:GO:0004089; F:GO:0008270	EC:4.2.1.1
plot30_0000515278_2	(2Fe-2S)-binding protein	F:GO:0009055; P:GO:0022900; F:GO:0046872; F:GO:0047121; F:GO:0051537	EC:1.3.99.16
plot1_0000093055_2	hypothetical protein BN4615_P6710		
plot30_0000467456_2	hypothetical protein AUH29_09435	C:GO:0016020; C:GO:0016021	
plot6_0000130333_1	xanthine dehydrogenase family protein molybdopterin-binding subunit	F:GO:0018492; P:GO:0055114	EC:1.2.99.2
plot1_0000017832_2	TRAP transporter substrate-binding protein	C:GO:0042597; F:GO:0046872; P:GO:0055085	
plot6_0000084665_5	superoxide dismutase	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	EC:1.15.1.1
plot6_0000232100_3	DUF1194 domain-containing protein		
plot1_0000274833_4	NTF2 domain-containing protein (plasmid)	F:GO:0016853	
plot1_0000072761_5	flavocytochrome C	F:GO:0016491; F:GO:0050660; P:GO:0055114	
plot36_0000007555_9	cyclase family protein	F:GO:0004061; P:GO:0019441	EC:3.5.1.9
plot1_0000114667_12	group 1 truncated hemoglobin	F:GO:0005344; P:GO:0015671; C:GO:0016020; F:GO:0019825; F:GO:0020037; F:GO:0046872	
plot6_0000146250_6	RidA family protein		
plot1_0000666619_1	amino acid ABC transporter substrate-binding protein		
plot1_0000045025_7	decarboxylating 6-phosphogluconate dehydrogenase	F:GO:0004616; P:GO:0006098; F:GO:0050661; P:GO:0055114	EC:1.1.1.44
plot1_0000442671_2	S-(hydroxymethyl)glutathione synthase	F:GO:0008270; P:GO:0046294; F:GO:0051907	EC:4.4.1.22
plot1_0000074498_7	S-(hydroxymethyl)glutathione synthase	F:GO:0008270; P:GO:0046294; F:GO:0051907	EC:4.4.1.22
plot1_0000141253_2	xanthine dehydrogenase family protein molybdopterin-binding subunit	F:GO:0043885; P:GO:0055114	EC:1.2.7.4
plot30_0000213984_3	xanthine dehydrogenase family protein molybdopterin-binding subunit	F:GO:0043885; P:GO:0055114	EC:1.2.7.4
plot1_0000054527_3	alpha/beta hydrolase	F:GO:0004601; F:GO:0016787; P:GO:0098869	EC:1.11.1.7
plot1_0000074159_7	2-pyrone-4,6-dicarboxylate hydrolase	F:GO:0016787	
plot6_0000180521_1	M20/M25/M40 family metallo-hydrolase	P:GO:0006508; F:GO:0008237; F:GO:0046872	
plot1_0000046479_5	hypothetical protein DMD90_27725	F:GO:0003824	
plot1_0000036110_2	collagen-like protein	P:GO:0009405; C:GO:0019867	
plot30_0000016169_11	SMP-30/gluconolactonase/LRE family protein	F:GO:0004341; F:GO:0016787	
plot6_0000159923_1	hypothetical protein		
plot1_0000444954_3	cytochrome P460	C:GO:0016021	
plot1_0000005818_17	phosphate ABC transporter substrate-binding protein PstS	P:GO:0035435; F:GO:0042301; C:GO:0043190	
plot30_0000590962_1	sugar ABC transporter substrate-binding protein		
plot30_0000639732_1	type 1 glutamine amidotransferase domain-containing protein	P:GO:0006508; P:GO:0006541; F:GO:0008233; F:GO:0016740	
plot36_0000215924_2	cupin	F:GO:0045735	
plot1_0000030907_2	carbon monoxide dehydrogenase	F:GO:0016491; P:GO:0055114	
plot30_0000568068_1	hypothetical protein ETSY1_15580	C:GO:0016020; C:GO:0016021	
plot36_0000053363_2	dienelactone hydrolase family protein	F:GO:0016787	
plot30_0000119909_4	right-handed parallel beta-helix repeat-containing protein		
plot36_0000042545_5	arylsulfatase	F:GO:0008484	
plot36_0000194433_1	acetamidase	F:GO:0016811	
plot36_0000507649_1	sugar ABC transporter substrate-binding protein	C:GO:0005886; C:GO:0016020; C:GO:0016021; F:GO:0022857; P:GO:0055085	
plot6_0000255746_4	type 1 glutamine amidotransferase domain-containing protein	P:GO:0006508; P:GO:0006541; F:GO:0008233; F:GO:0016740	
plot1_0000198188_3	hypothetical protein		
plot30_0000031058_7	hypothetical protein DMF92_20000	F:GO:0003824; C:GO:0016021; F:GO:0046872	
plot1_0000185044_4	hypothetical protein AUH20_04305	C:GO:0016021	
plot30_0000109035_6	quinonprotein alcohol dehydrogenase	F:GO:0005507; F:GO:0009055; C:GO:0016021; P:GO:0022900	
plot1_0000004574_9	dienelactone hydrolase family protein	F:GO:0016787	
plot1_0000024824_14	phosphate-binding protein	F:GO:0042301	
plot36_0000025805_1	ABC transporter substrate-binding protein		
plot1_0000010087_12	carboxymethylenebutenolidase	F:GO:0008806	EC:3.1.1.45; EC:3.1.1.1
plot30_0000402937_1	amino acid ABC transporter substrate-binding protein	C:GO:0016021	
plot30_0000445341_2	carbon monoxide dehydrogenase	F:GO:0018492; P:GO:0055114	EC:1.2.99.2
plot36_0000254858_2	CHRD domain-containing protein	F:GO:0016301; P:GO:0016310	
plot30_0000088571_3	CHRD domain-containing protein	F:GO:0016301; P:GO:0016310	
plot36_0000372303_1	amino acid ABC transporter substrate-binding protein		
plot30_0000154325_2	cupin domain-containing protein	F:GO:0051213; P:GO:0055114	
plot1_0000035596_5	sugar ABC transporter substrate-binding protein		
plot1_0000037652_3	M20/M25/M40 family metallo-hydrolase	P:GO:0006508; F:GO:0008237; F:GO:0046872	
plot1_0000005928_7	M20/M25/M40 family metallo-hydrolase	P:GO:0006508; F:GO:0008237; F:GO:0046872	
plot30_0000133633_2	40-residue YVTN family beta-propeller repeat-containing protein	C:GO:0016020	
plot1_0000363887_2	40-residue YVTN family beta-propeller repeat-containing protein	C:GO:0016020	
plot6_0000045969_4	TRAP transporter substrate-binding protein	C:GO:0042597; F:GO:0046872; P:GO:0055085	
plot30_0000203541_3	MBL fold metallo-hydrolase	F:GO:0016787	
plot30_0000627841_2	MBL fold metallo-hydrolase	F:GO:0016787	
plot1_0000439240_1	carboxypeptidase regulatory-like domain-containing protein	F:GO:0030246	
plot6_0000261765_2	arylsulfatase	F:GO:0008484	
plot30_0000204708_3	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; C:GO:0030288; F:GO:0052935; F:GO:0052936; P:GO:0055114	EC:1.1.2.8
plot1_0000046935_4	superoxide dismutase	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	EC:1.15.1.1
plot1_0000549783_2	gluconolactonase		
plot30_0000378483_3	capsule biosynthesis GfcC		
plot30_0000117126_4	hypothetical protein DMG72_01795		
plot36_0000002428_19	hypothetical protein AUI16_08520		
plot1_0000333145_3	sulfur reduction protein DsrE		
plot1_0000173261_1	Cna protein B-type domain-containing protein	C:GO:0016020; C:GO:0016021	
plot1_0000077046_6	N-acyl homoserine lactonase family protein	F:GO:0016787	
plot30_0000532975_3	right-handed parallel beta-helix repeat-containing protein	F:GO:0016829	
plot30_0000032557_10	redoxin domain-containing protein	C:GO:0005623; F:GO:0016209; F:GO:0016491; P:GO:0045454; P:GO:0055114; P:GO:0098869	
plot36_0000073387_2	receptor family ligand-binding protein	P:GO:0006865	
plot36_0000368283_2	gluconolactonase	F:GO:0004341; F:GO:0016491; P:GO:0055114	EC:3.1.1.17; EC:3.1.1.1
plot6_0000142108_1	hypothetical protein A3I61_11040	C:GO:0016020; C:GO:0016021	
plot36_0000251951_3	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	
plot1_0000101502_2	transporter substrate-binding domain-containing protein		
plot36_0000130937_3	lectin	F:GO:0030246	
plot36_0000233578_1	extracellular solute-binding protein	P:GO:0008643	
plot1_0000019573_11	porin	P:GO:0006811; C:GO:0009279; F:GO:0015288; C:GO:0046930; P:GO:0055085	
plot1_0000010779_11	galactose oxidase		
plot1_0000548064_2	hemin transporter	F:GO:0005344; P:GO:0015671; C:GO:0016020; F:GO:0019825; F:GO:0020037; F:GO:0046872	
plot1_0000300356_4	hypothetical protein A3F74_18960	F:GO:0016787; F:GO:0016831	
plot30_0000208090_4	chemotaxis protein		
plot1_0000231055_2	group 1 truncated hemoglobin	F:GO:0005488	
plot36_0000063933_5	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
plot1_0000527859_4	superoxide dismutase	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	EC:1.15.1.1
plot1_0000129302_2	heme-binding protein	P:GO:0006464	
plot30_0000559926_3	carboxymethylenebutenolidase	F:GO:0016787	
plot30_0000003229_22	TRAP transporter substrate-binding protein	C:GO:0030288; P:GO:0055085	
plot1_0000095337_2	thiolase family protein	F:GO:0003824	
plot1_0000085430_3	NIPSNAP family protein		
plot30_0000622365_1	copper oxidase	C:GO:0016020	
plot30_0000032432_12	gluconolactonase		
plot1_0000298800_2	GMC family oxidoreductase	F:GO:0016614; F:GO:0050660; P:GO:0055114	
plot36_0000442743_2	hypothetical protein AUI16_08520		
plot30_0000009188_21	hypothetical protein A2W00_00430		
plot1_0000116143_4	hypothetical protein A2W00_00430		
plot30_0000138133_3	hypothetical protein A3I17_07270		
plot1_0000672721_2	peptidase M23		
plot30_0000193604_2	NIPSNAP family containing protein		
plot36_0000107058_5	Ldh family oxidoreductase	F:GO:0003824; F:GO:0005488	
plot1_0000487466_2	6-bladed beta-propeller	F:GO:0016301; P:GO:0016310	
plot1_0000075383_3	ABC transporter substrate-binding protein	P:GO:0006865	
plot1_0000246205_1	PQQ-dependent sugar dehydrogenase	F:GO:0003824	
plot30_0000012731_15	tricarboxylate transporter		
plot6_0000271875_2	amino acid ABC transporter substrate-binding protein		
plot1_0000478659_2	MBL fold metallo-hydrolase	F:GO:0016787	
plot30_0000001770_21	ABC transporter substrate-binding protein	P:GO:0006865	
plot36_0000211802_1	aconitate hydratase AcnA	F:GO:0003994; F:GO:0051539	EC:4.2.1.3
plot30_0000263034_1	peptidylprolyl isomerase	P:GO:0000413; F:GO:0003755	EC:5.2.1.8
plot30_0000024704_8	cupin	F:GO:0045735	
plot1_0000065598_1	superoxide dismutase	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	EC:1.15.1.1
