SeqName	Description	GO IDs	Enzyme Codes
PYN14432.1	cyclase family protein	F:GO:0004061; P:GO:0019441	EC:3.5.1.9
PYN13362.1	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit A	F:GO:0004040; F:GO:0016740; F:GO:0043864	EC:3.5.1.4
PYN12575.1	amidohydrolase	F:GO:0016787; F:GO:0016831	
PYN10725.1	cytochrome c class I	F:GO:0009055; C:GO:0016021; F:GO:0020037; P:GO:0022900; F:GO:0046872	
PYN09525.1	dienelactone hydrolase	F:GO:0016787	
PYN08366.1	fumarylacetoacetate hydrolase	F:GO:0016787	
PYN08197.1	amidase	F:GO:0004040; F:GO:0016740	EC:3.5.1.4
PYN07873.1	lipolytic enzyme SBLip2	F:GO:0016787	
PYN07497.1	CHRD domain-containing protein	P:GO:0006801; F:GO:0046872	
PYN07396.1	alpha/beta hydrolase	F:GO:0016787	
PYN07188.1	carnitine dehydratase	F:GO:0003824	
PYN06771.1	lactonase family protein	F:GO:0016787; F:GO:0017057	
PYN05638.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYN05492.1	carboxymethylenebutenolidase	F:GO:0016787	
PYN05018.1	ABC transporter substrate-binding protein	P:GO:0006865	
PYN04512.1	cupin	C:GO:0016021	
PYN04135.1	hypothetical protein DME07_04310	F:GO:0004061; C:GO:0016021; P:GO:0019441	EC:3.5.1.9
PYN03734.1	aspartate aminotransferase family protein	F:GO:0008483; F:GO:0030170	
PYN03464.1	hypothetical protein DME02_23600	F:GO:0004061; C:GO:0016021; P:GO:0019441	EC:3.5.1.9
PYN02734.1	metal-dependent hydrolase	F:GO:0016787	
PYN01564.1	hypothetical protein DME07_13200	C:GO:0043190; P:GO:0055085	
PYM96836.1	2-pyrone-4,6-dicarboxylate hydrolase	F:GO:0016787	
PYM95040.1	aldehyde dehydrogenase	F:GO:0047121; P:GO:0055114	EC:1.3.99.16
PYM95029.1	alpha/beta hydrolase	F:GO:0016787	
PYM94000.1	hypothetical protein DME08_18630	C:GO:0016021; F:GO:0030246	
PYM93796.1	hypothetical protein DME04_09605	F:GO:0016787; C:GO:0043190; P:GO:0055085	
PYM93794.1	hypothetical protein DME04_09595	F:GO:0003824; P:GO:0006518; C:GO:0016020	
PYM93408.1	hypothetical protein DME04_11255	C:GO:0016021	
PYM93090.1	carboxymethylenebutenolidase	F:GO:0016787	
PYM92347.1	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase	F:GO:0003824	
PYM91072.1	metal-dependent hydrolase	F:GO:0016787	
PYM90470.1	sorbosone dehydrogenase	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	
PYM89037.1	cyclase family protein	F:GO:0004061; P:GO:0019441	EC:3.5.1.9
PYM88710.1	acetamidase	F:GO:0016811	
PYM87778.1	aldo/keto reductase	F:GO:0016491; P:GO:0055114	
PYM87389.1	cupin	C:GO:0016021	
PYM87381.1	formyl-CoA transferase	F:GO:0033608	EC:2.8.3.16
PYM86631.1	LLM class flavin-dependent oxidoreductase	F:GO:0047646; P:GO:0055114	EC:1.14.14.3; EC:1.14.14
PYM86548.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYM85591.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYM83606.1	hypothetical protein DME13_15345	F:GO:0030246	
PYM82700.1	hypothetical protein DME09_13360	C:GO:0016021	
PYM82468.1	amidohydrolase	F:GO:0016787	
PYM81936.1	ABC transporter substrate-binding protein	P:GO:0006865	
PYM79398.1	N-acyl homoserine lactonase family protein	C:GO:0016021	
PYM78641.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYM78195.1	acryloyl-CoA reductase	F:GO:0016491; F:GO:0016740; P:GO:0055114	
PYM78010.1	hypothetical protein DME03_01930	C:GO:0016021; F:GO:0030246	
PYM77352.1	cyclopentanol dehydrogenase	F:GO:0016491; P:GO:0055114	
PYM77316.1	hypothetical protein DME03_05485	C:GO:0043190; P:GO:0055085	
PYM77136.1	amidase	F:GO:0004040	EC:3.5.1.4
PYM76784.1	carboxymethylenebutenolidase	F:GO:0016787	
PYM76516.1	flavocytochrome C	F:GO:0016491; F:GO:0050660; P:GO:0055114	
PYM74887.1	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
PYM74011.1	cyclase	F:GO:0004061; P:GO:0019441	EC:3.5.1.9
PYM73810.1	putative Leu/Ile/Val-binding protein-like protein 8	P:GO:0006865; C:GO:0016021	
PYM73671.1	MBL fold metallo-hydrolase	F:GO:0016787	
PYM73411.1	2-pyrone-4,6-dicarboxylate hydrolase	F:GO:0016787	
PYM72910.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYM72823.1	carboxymethylenebutenolidase	F:GO:0016787	
PYM72774.1	metallophosphoesterase	C:GO:0016021; F:GO:0016787	
PYM72766.1	ABC transporter substrate-binding protein	P:GO:0006865	
PYM72487.1	amidohydrolase	F:GO:0016787; F:GO:0016831	
PYM72386.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYM72350.1	ABC transporter ATP-binding protein	F:GO:0005524	
PYM72179.1	alpha/beta hydrolase	F:GO:0016787	
PYM72091.1	branched chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
PYM72010.1	alpha/beta hydrolase	F:GO:0016787	
PYM71985.1	ABC transporter substrate-binding protein	P:GO:0006865	
PYM71432.1	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase	F:GO:0016853	
PYM71252.1	ABC transporter substrate-binding protein	P:GO:0006865; C:GO:0016021	
PYM71126.1	alcohol dehydrogenase	F:GO:0008270; F:GO:0016491; P:GO:0055114	
PYM70644.1	amidohydrolase	F:GO:0016787	
PYM69409.1	amidohydrolase	F:GO:0016787; F:GO:0016831	
PYM69195.1	ABC transporter substrate-binding protein	P:GO:0006865	
PYM69067.1	carbon monoxide dehydrogenase	F:GO:0016491; P:GO:0055114; F:GO:0071949	
PYM67569.1	acetamidase	F:GO:0016811	
PYM67258.1	extracellular solute-binding protein	P:GO:0015846; F:GO:0019808; C:GO:0042597	
PYM66622.1	branched chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
PYM66507.1	amino acid ABC transporter substrate-binding protein	C:GO:0016021	
PYM64469.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYM64234.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYM62104.1	dienelactone hydrolase	F:GO:0016787	
PYM61793.1	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865; C:GO:0016020	
PYM60660.1	3-hydroxyisobutyrate dehydrogenase	F:GO:0016491; F:GO:0050661; F:GO:0051287; P:GO:0055114	
PYM59748.1	alpha/beta hydrolase	F:GO:0016787	
PYM59554.1	carbon monoxide dehydrogenase	F:GO:0016491; P:GO:0055114	
PYM58818.1	metal-dependent hydrolase	F:GO:0016787	
PYM58321.1	dienelactone hydrolase	F:GO:0016787	
PYM55642.1	carbon monoxide dehydrogenase	F:GO:0009055; P:GO:0022900; F:GO:0046872; F:GO:0051536	
PYM55291.1	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit A	F:GO:0004040; F:GO:0016740; F:GO:0043864	EC:3.5.1.4
PYM54111.1	carbon monoxide dehydrogenase	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0046872; F:GO:0051536	EC:1.2.99.2
PYM54062.1	amidohydrolase	F:GO:0016787	
PYM53481.1	ABC transporter substrate-binding protein	C:GO:0016021	
PYM53269.1	carbon monoxide dehydrogenase	F:GO:0016491; P:GO:0055114; F:GO:0071949	
PYM48697.1	alcohol dehydrogenase	C:GO:0016021; F:GO:0016491; P:GO:0055114	
PYM48647.1	2-dehydro-3-deoxyglucarate aldolase	F:GO:0046872; F:GO:0051920; P:GO:0055114; P:GO:0098869	EC:1.11.1.15
PYM37989.1	GMC family oxidoreductase	F:GO:0016614; F:GO:0050660; P:GO:0055114	
PYM36698.1	cyclase family protein	F:GO:0004061; C:GO:0016021; P:GO:0019441	EC:3.5.1.9
PYM36014.1	MBL fold metallo-hydrolase	F:GO:0016787	
PYM34341.1	ABC transporter ATP-binding protein	F:GO:0005524	
PYM32280.1	phospholipase	F:GO:0004629	EC:3.1.4.3
PYM32235.1	hypothetical protein DME15_14775	C:GO:0043190; P:GO:0055085	
PYM31675.1	amidohydrolase	F:GO:0016787	
PYM30792.1	cyclase family protein	F:GO:0004061; P:GO:0019441	EC:3.5.1.9
PYM27874.1	acetamidase	F:GO:0016811	
PYM27871.1	1,4-butanediol diacrylate esterase	F:GO:0016787	
PYM27842.1	amidohydrolase	F:GO:0016787	
PYM27628.1	branched chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
PYM27528.1	aldehyde dehydrogenase	F:GO:0016491; P:GO:0055114	
PYM27527.1	cytochrome C	F:GO:0016491; F:GO:0050660; P:GO:0055114	
PYM27515.1	alcohol dehydrogenase	F:GO:0005509; C:GO:0016020; F:GO:0018468; F:GO:0052930; F:GO:0052931; F:GO:0052932; F:GO:0052935; F:GO:0052936; P:GO:0055114	EC:1.1.2.7; EC:1.1.99.8; EC:1.1.2.8
PYM26931.1	hypothetical protein DMD78_03365	F:GO:0004061; C:GO:0016021; P:GO:0019441	EC:3.5.1.9
PYM25426.1	carbon-monoxide dehydrogenase large subunit	F:GO:0005507; F:GO:0018492; F:GO:0030151; P:GO:0055114	EC:1.2.99.2
PYM25332.1	dienelactone hydrolase	F:GO:0016787	
PYM22881.1	amino acid ABC transporter substrate-binding protein	F:GO:0004970; C:GO:0016020; P:GO:0035235	
PYM21647.1	cyclase	F:GO:0004061; P:GO:0019441	EC:3.5.1.9
PYM21259.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYM19719.1	FAA hydrolase family protein	F:GO:0016787; F:GO:0016829; F:GO:0016853	
PYM19488.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYM19403.1	alcohol dehydrogenase	F:GO:0005509; C:GO:0016020; F:GO:0018468; P:GO:0055114	EC:1.1.99.8
PYM19313.1	putative malate synthase	F:GO:0004474; P:GO:0006097	EC:2.3.3.9
PYM19085.1	ABC transporter substrate-binding protein	P:GO:0006865; C:GO:0016021	
PYM18669.1	cytochrome C	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	
PYM18558.1	dienelactone hydrolase	F:GO:0016787	
PYM17972.1	amidase	F:GO:0004040	EC:3.5.1.4
PYM17541.1	2-pyrone-4,6-dicarboxylate hydrolase	F:GO:0016787	
PYM17070.1	alpha/beta hydrolase	F:GO:0016787	
PYM15315.1	cyclase	F:GO:0004061; P:GO:0019441	EC:3.5.1.9
PYM14587.1	carboxymethylenebutenolidase	F:GO:0016787	
PYM14484.1	carboxymethylenebutenolidase	F:GO:0016787	
PYM14075.1	ABC transporter substrate-binding protein	P:GO:0006865; C:GO:0016021	
PYM13579.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYM13577.1	gluconolactonase	F:GO:0004341	EC:3.1.1.17; EC:3.1.1.1
PYM12977.1	(2Fe-2S)-binding protein	F:GO:0009055; P:GO:0022900; F:GO:0046872; F:GO:0051537	
PYM12581.1	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit A	F:GO:0004040; F:GO:0016740; F:GO:0043864	EC:3.5.1.4
PYM12533.1	amidohydrolase	F:GO:0016787	
PYM11117.1	aldehyde dehydrogenase	C:GO:0016021; F:GO:0016491; P:GO:0055114	
PYM06337.1	twin-arginine translocation pathway signal protein	C:GO:0016021; F:GO:0016491; P:GO:0055114	
PYM05945.1	antibiotic biosynthesis monooxygenase	F:GO:0004497; P:GO:0055114	
PYM05574.1	glucose dehydrogenase	F:GO:0003824	
PYM05287.1	amidase	F:GO:0004040; F:GO:0016740; F:GO:0043864	EC:3.5.1.4
PYM04737.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYM04116.1	ABC transporter substrate-binding protein	P:GO:0006865	
PYM03562.1	bifunctional nicotinamidase/pyrazinamidase	F:GO:0003824	
PYL99255.1	(2Fe-2S)-binding protein	F:GO:0009055; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536	EC:1.2.7.4
PYL99254.1	xanthine dehydrogenase family protein molybdopterin-binding subunit	F:GO:0018492; P:GO:0055114	EC:1.2.99.2
PYL96369.1	alpha/beta hydrolase	F:GO:0004601; F:GO:0016787; P:GO:0098869	EC:1.11.1.7
PYL79415.1	phosphatase	C:GO:0016020; C:GO:0016021	
PYL74908.1	glucose sorbosone dehydrogenase	P:GO:0000272; F:GO:0004553; C:GO:0016021	
PYL70597.1	glucose-6-phosphate isomerase	F:GO:0004347; C:GO:0005737; P:GO:0006094; P:GO:0006096	EC:5.3.1.9
PYL35089.1	ferritin-like domain-containing protein	C:GO:0016020; C:GO:0016021	
PYL27328.1	cytochrome B6	F:GO:0004601; F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872; P:GO:0098869	EC:1.11.1.7
PYL22207.1	alcohol dehydrogenase	F:GO:0008270; F:GO:0016491; P:GO:0055114	
PYL20440.1	DUF1348 domain-containing protein	C:GO:0005840	
PYL20248.1	hypothetical protein DMF44_15075	C:GO:0016021	
PYK99264.1	50S ribosomal protein L7/L12	F:GO:0003735; C:GO:0005840; P:GO:0006412	
PYK86955.1	arylsulfatase	F:GO:0004065	EC:3.1.6.1
PYK63948.1	hypothetical protein DME50_16225	C:GO:0016021	
PYK50120.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PYK49128.1	hypothetical protein DME20_07665	C:GO:0016021	
PYK27130.1	DUF4331 domain-containing protein	C:GO:0016021	
PYK10667.1	N-acyl-D-aspartate/D-glutamate deacylase/Predicted amidohydrolase YtcJ/Adenine deaminase	F:GO:0016811	
PYJ67959.1	C4-dicarboxylate ABC transporter	C:GO:0016021; C:GO:0042597; F:GO:0046872; P:GO:0055085; P:GO:0055114	
PYJ36029.1	DUF3604 domain-containing protein	F:GO:0003824	
PYJ28423.1	alcohol dehydrogenase	F:GO:0008270; F:GO:0016491; P:GO:0055114	
PYJ12245.1	arylsulfatase	F:GO:0008484	
PYJ00343.1	carbon monoxide dehydrogenase	F:GO:0016491; P:GO:0055114	
PYI85226.1	cysteine synthase A	F:GO:0004124; P:GO:0006535; F:GO:0016787	EC:2.5.1.47
PYI79315.1	ethanolamine utilization protein EutJ	P:GO:0006865	
PYG41954.1	xanthine dehydrogenase family protein subunit M	F:GO:0043885; P:GO:0055114; F:GO:0071949	EC:1.2.7.4
PYG38585.1	ABC transporter substrate-binding protein	P:GO:0006865	
PYG37504.1	carbohydrate ABC transporter substrate-binding protein	F:GO:0005215	
PYG36973.1	glycerol kinase	F:GO:0004370; F:GO:0005524; P:GO:0006072; P:GO:0016310; P:GO:0019563	EC:2.7.1.30
PYG00991.1	epoxyalkane--coenzyme M transferase	F:GO:0003871; F:GO:0008270; P:GO:0009086; P:GO:0032259	EC:2.1.1.14
PYF91773.1	arylsulfatase	F:GO:0008484	
PYE96704.1	carbohydrate ABC transporter substrate-binding protein	F:GO:0005215	
PYE94786.1	sugar ABC transporter substrate-binding protein	P:GO:0008643	
PYE79919.1	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
PXY36801.1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; C:GO:0030288; F:GO:0052935; F:GO:0052936; P:GO:0055114	EC:1.1.2.8
PXX11999.1	glutamate ABC transporter substrate-binding protein	F:GO:0004970; C:GO:0016020; P:GO:0035235	
PXX04179.1	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
PXF29874.1	BMP family ABC transporter substrate-binding protein	C:GO:0005886	
PXF28622.1	ABC transporter substrate-binding protein	P:GO:0008643	
PWW65980.1	alpha/beta hydrolase	F:GO:0016787	
PWV96160.1	dienelactone hydrolase family protein	F:GO:0016787	
PWV92133.1	transporter substrate-binding domain-containing protein	F:GO:0004970; C:GO:0016020; P:GO:0035235	
PWV47681.1	beta-mannosidase	P:GO:0000272; C:GO:0005576; F:GO:0052761	EC:3.2.1.165
PWU81138.1	copper oxidase	F:GO:0005507; P:GO:0006807; F:GO:0050421; P:GO:0055114	EC:1.7.2.1
PWU79967.1	ammonia monooxygenase	F:GO:0015049; C:GO:0016021; F:GO:0018597; P:GO:0055114	EC:1.14.99.39; EC:1.14.13; EC:1.14.13.25
PWU25595.1	catechol 1,2-dioxygenase	F:GO:0005524; F:GO:0016887; F:GO:0051213; P:GO:0055114	EC:3.6.1.3; EC:3.6.1.15
PWU25242.1	BMP family ABC transporter substrate-binding protein	C:GO:0005886	
PWU24944.1	ABC transporter substrate-binding protein	P:GO:0006865	
PWU23796.1	aspartate aminotransferase family protein	F:GO:0008483; F:GO:0030170	
PWU22346.1	carboxymethylenebutenolidase	F:GO:0016787	
PWU20278.1	aconitate hydratase	F:GO:0003994; P:GO:0006099; F:GO:0051539	EC:4.2.1.3
PWU19975.1	1,4-butanediol diacrylate esterase	F:GO:0016298	
PWU11764.1	glucose-6-phosphate isomerase	F:GO:0004347; C:GO:0005737; P:GO:0006094; P:GO:0006096; C:GO:0016021	EC:5.3.1.9
PWU10414.1	hypothetical protein C5B51_04235	F:GO:0030246	
PWU09454.1	extracellular solute-binding protein	P:GO:0008643	
PWU06518.1	alpha/beta hydrolase	F:GO:0016787	
PWU05663.1	carbon monoxide dehydrogenase	F:GO:0004854; P:GO:0055114	EC:1.17.1; EC:1.17.1.4
PWU02924.1	cyclase	F:GO:0004061; P:GO:0019441	EC:3.5.1.9
PWU01872.1	heme-binding protein	F:GO:0016740	
PWT99567.1	arylsulfatase	F:GO:0008484	
PWT92503.1	arylsulfatase	F:GO:0008484	
PWT92455.1	acetamidase	F:GO:0016811	
PWT91706.1	ABC transporter substrate-binding protein	P:GO:0009228	
PWT91641.1	antibiotic biosynthesis monooxygenase	F:GO:0004497; P:GO:0055114	
PWT88586.1	epoxide hydrolase	F:GO:0033961	EC:3.3.2.9
PWT87798.1	arylsulfatase	F:GO:0008484	
PWT87318.1	alpha/beta hydrolase	F:GO:0016787	
PWT86361.1	TRAP transporter substrate-binding protein	C:GO:0030288; P:GO:0055085	
PWT85784.1	hypothetical protein C5B57_02315	C:GO:0016020	
PWT85612.1	dienelactone hydrolase family protein	F:GO:0016787	
PWT85555.1	carboxymethylenebutenolidase	F:GO:0008806	EC:3.1.1.45; EC:3.1.1.1
PWT84989.1	molybdenum-pterin-binding protein	P:GO:0015689	
PWT77319.1	CHRD domain-containing protein	F:GO:0016301; P:GO:0016310	
PWT76703.1	(2Fe-2S)-binding protein	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0046872; F:GO:0051537	EC:1.2.99.2
PWT76702.1	carbon monoxide dehydrogenase	F:GO:0018492; P:GO:0055114	EC:1.2.99.2
PWT76566.1	beta-glucosidase	F:GO:0008422; P:GO:0030245; F:GO:0102483	EC:3.2.1.21
PWT75213.1	nucleoside-binding protein	C:GO:0005886	
PWT73266.1	acetamidase	F:GO:0016811	
PWT72290.1	amidohydrolase	F:GO:0016787	
PWT71945.1	alcohol dehydrogenase	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	
PWT71213.1	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
PWR12929.1	DUF4440 domain-containing protein	F:GO:0016853	
PWR06163.1	carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein	P:GO:0008643	
PWJ03080.1	acetamidase/formamidase family protein	F:GO:0016811	
PWI68579.1	malate dehydrogenase	P:GO:0005975; P:GO:0006099; P:GO:0006108; F:GO:0030060	EC:1.1.1.37
PWE56213.1	amino acid ABC transporter substrate-binding protein	P:GO:0006865	
PWC90856.1	alpha/beta hydrolase	F:GO:0016691; F:GO:0016787; P:GO:0055114; P:GO:0098869	EC:1.11.1.10; EC:1.11.1.7
PWC86304.1	arylsulfatase	F:GO:0008484	
PWC81542.1	BMP family ABC transporter substrate-binding protein	C:GO:0005886; P:GO:0008643	
PWC77171.1	carbohydrate ABC transporter substrate-binding protein	F:GO:0005215; P:GO:0008643	
PWC38512.1	BMP family ABC transporter substrate-binding protein	C:GO:0005886	
PWC36193.1	formate dehydrogenase	F:GO:0009055; P:GO:0022900	
PWC31732.1	xanthine dehydrogenase family protein molybdopterin-binding subunit	F:GO:0016491; P:GO:0055114	
PVY12237.1	carbohydrate ABC transporter substrate-binding protein	P:GO:0008643	
PVY03511.1	CoA transferase subunit A	F:GO:0008260	EC:2.8.3.5
PVX99351.1	carbohydrate ABC transporter substrate-binding protein	F:GO:0005215	
PVX41677.1	dienelactone hydrolase family protein	F:GO:0016787	
PVX31204.1	hypothetical protein	F:GO:0009055; C:GO:0016021; F:GO:0020037; P:GO:0022900; F:GO:0046872	
PVG84618.1	carbon monoxide dehydrogenase	F:GO:0016491; P:GO:0055114	
PTV97191.1	FAA hydrolase family protein	F:GO:0004334; F:GO:0016853; F:GO:0018800; F:GO:0050385	EC:4.1.1.68; EC:3.7.1.2; EC:4.3.2.3
PTQ12309.1	dienelactone hydrolase family protein	F:GO:0016787	
PTL83296.1	alpha/beta hydrolase	F:GO:0016787	
PTL42581.1	dienelactone hydrolase family protein	F:GO:0008806; C:GO:0016021	EC:3.1.1.45; EC:3.1.1.1
PTD09824.1	alcohol oxidase	F:GO:0016614; F:GO:0050660; P:GO:0055114	
PST84313.1	dienelactone hydrolase family protein	C:GO:0016021; F:GO:0016787	
PSS60640.1	c-type cytochrome	F:GO:0004601; F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872; P:GO:0098869	EC:1.11.1.7
PSL85331.1	carboxymethylenebutenolidase	F:GO:0008806	EC:3.1.1.45; EC:3.1.1.1
PSL81471.1	D-xylose ABC transporter substrate-binding protein	P:GO:0015753; F:GO:0048029	
PSJ64180.1	carbohydrate ABC transporter substrate-binding protein	P:GO:0008643	
PSJ64174.1	carbon-monoxide dehydrogenase large subunit	F:GO:0005507; F:GO:0018492; F:GO:0030151; P:GO:0055114	EC:1.2.99.2
PSJ63035.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PSJ62965.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PSJ61942.1	ABC transporter substrate-binding protein	P:GO:0015846; F:GO:0019808; C:GO:0042597	
PSJ61391.1	peptide ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PSJ58623.1	alpha/beta hydrolase	F:GO:0016787	
PSJ58585.1	xanthine dehydrogenase family protein molybdopterin-binding subunit	F:GO:0016491; P:GO:0055114	
PSJ57571.1	arylsulfatase	F:GO:0004065	EC:3.1.6.1
PSJ54386.1	arylsulfatase	F:GO:0008484	
PSJ52644.1	BMP family ABC transporter substrate-binding protein	C:GO:0005886	
PSC05345.1	YVTN family beta-propeller repeat protein	C:GO:0016021	
PSC04930.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PSC04343.1	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
PSC04143.1	glycine betaine ABC transporter substrate-binding protein	F:GO:0022857; C:GO:0043190; P:GO:0055085	
PSC03280.1	lectin	F:GO:0030246	
PRZ25912.1	ABC transporter ATP-binding protein	F:GO:0005524; F:GO:0016757; F:GO:0016887	EC:3.6.1.3; EC:3.6.1.15
PRY08683.1	metallophosphoesterase	C:GO:0016021; F:GO:0016787	
PRC94986.1	acid phosphatase	F:GO:0003993; P:GO:0016311; F:GO:0034480	EC:3.1.4.3; EC:3.1.3.2
PQP01005.1	DctP family TRAP transporter solute-binding subunit	C:GO:0030288; P:GO:0055085	
PQO93607.1	c-type cytochrome	F:GO:0009055; C:GO:0016020; F:GO:0020037; P:GO:0022900; F:GO:0046872	
PQO47777.1	glucose-6-phosphate isomerase	F:GO:0004347; C:GO:0005737; P:GO:0006094; P:GO:0006096	EC:5.3.1.9
PQE09427.1	formate dehydrogenase	C:GO:0005737; F:GO:0008863; F:GO:0016616; P:GO:0042183; F:GO:0051287; P:GO:0055114	EC:1.2.1.2
PPS68860.1	Acetyl esterase/lipase	F:GO:0080030	EC:3.1.1.1
PPL19540.1	dihydroxyacetone kinase subunit DhaK	F:GO:0004371; P:GO:0006071; P:GO:0016310; F:GO:0047324	EC:2.7.1.29; EC:2.7.1.121
PPL18974.1	glyoxalase	F:GO:0051213; P:GO:0055114	
PPK44795.1	alpha/beta hydrolase	F:GO:0016787	
POX48453.1	alpha-N-arabinofuranosidase	P:GO:0031221; P:GO:0046373; F:GO:0046556	EC:3.2.1.55
POR55419.1	peptidylprolyl isomerase	P:GO:0000413; F:GO:0003755	EC:5.2.1.8
POR07744.1	(2Fe-2S)-binding protein	F:GO:0009055; P:GO:0022900; F:GO:0046872; F:GO:0047121; F:GO:0051537	EC:1.3.99.16
POA98657.1	acid phosphatase	F:GO:0003993; P:GO:0016311; F:GO:0034480	EC:3.1.4.3; EC:3.1.3.2
PNG08830.1	cytochrome P460	C:GO:0016021	
PNE12017.1	cytochrome P460	C:GO:0016021	
PNE11187.1	MBL fold metallo-hydrolase	F:GO:0016787	
PND24218.1	xanthine dehydrogenase family protein molybdopterin-binding subunit	F:GO:0016491; P:GO:0055114	
PMS26600.1	exo-alpha-sialidase	F:GO:0004308	EC:3.2.1.18
PMS16663.1	cupin	F:GO:0003735; C:GO:0005840; P:GO:0006412; F:GO:0051213; P:GO:0055114	
PMQ14909.1	xanthine dehydrogenase YagS FAD-binding subunit	F:GO:0004854; F:GO:0018525; P:GO:0055114; F:GO:0071949	EC:1.3.7.9; EC:1.17.1; EC:1.17.1.4
PLS82814.1	aconitate hydratase AcnA	F:GO:0003994; F:GO:0051539	EC:4.2.1.3
PLS77035.1	dihydroxy-acid dehydratase	F:GO:0004160; P:GO:0009097; P:GO:0009099; F:GO:0046872; F:GO:0051539	EC:4.2.1.9
PLP59731.1	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
PLP59661.1	peptide ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PKY45117.1	cyclophilin A	P:GO:0000413; F:GO:0003755; F:GO:0016018; P:GO:0042026; F:GO:0051082	EC:5.2.1.8
PKU26274.1	cytochrome c family protein	F:GO:0009055; C:GO:0016021; F:GO:0020037; P:GO:0022900; F:GO:0046872	
PKU25776.1	ABC transporter substrate-binding protein	C:GO:0043190; P:GO:0055085	
PKK52042.1	Pyruvate/2-oxoglutarate dehydrogenase	C:GO:0005623; F:GO:0009055; P:GO:0022900; P:GO:0045454; F:GO:0050660	
PJN01318.1	acid phosphatase	F:GO:0004438; P:GO:0016311	EC:3.1.3.64
PJJ38168.1	alpha/beta hydrolase	F:GO:0016787	
PJJ35729.1	FAA hydrolase family protein	F:GO:0016853	
PJJ35528.1	branched-chain amino acid ABC transporter substrate-binding protein	P:GO:0006865	
PJJ35426.1	ABC transporter substrate-binding protein	P:GO:0006865	
PJJ34915.1	arylsulfatase	F:GO:0008484	
PJJ34260.1	aminocarboxymuconate-semialdehyde decarboxylase	F:GO:0016787; F:GO:0016831	
PJJ33395.1	N-acyl homoserine lactonase family protein	F:GO:0016740; F:GO:0016787	
PJJ32958.1	extracellular solute-binding protein	F:GO:0005524	
PJJ31782.1	Calcineurin-like phosphoesterase	F:GO:0016787	
PJJ31459.1	receptor	C:GO:0016021	
PJJ31234.1	xanthine dehydrogenase family protein molybdopterin-binding subunit	F:GO:0016491; P:GO:0055114	
PJJ16835.1	N-acyl homoserine lactonase family protein	F:GO:0016787	
